n time
25 8.87771e-05
50 0.000302575
75 0.000698002
100 0.00118668
125 0.00181586
150 0.00255395
175 0.0033818
200 0.00455306
225 0.00553744
250 0.00694142
275 0.00825237
300 0.00992827
325 0.0122935
350 0.0134824
375 0.0152813
400 0.0174571
425 0.0197497
450 0.0221584
475 0.0242228
500 0.0263903
