n time
25 0.000156008
50 0.000660007
75 0.00161259
100 0.00315527
125 0.00539396
150 0.00844051
175 0.012437
200 0.0174443
225 0.0234513
250 0.0308523
275 0.039606
300 0.0497543
325 0.0615668
350 0.0749662
375 0.0900864
400 0.107039
425 0.126007
450 0.146717
475 0.167682
500 0.18907
